
23/04/2021 20:33:41,a,1,4
23/04/2021 20:39:20,coffee,40,3
อังคาร_2021-04-27-23:27:01,a,5,5
อังคาร-2021-04-27 23:28:56,a,2,4
อังคาร-2021-05-04 22:20:45,,5,1
อังคาร-2021-05-04 22:29:54,d,4,5
อังคาร-2021-05-04 22:37:25,coffee,5,2
อังคาร-2021-05-04 22:43:45,coffee,5,2
อังคาร-2021-05-04 22:44:36,ห,5,2
อังคาร-2021-05-04 22:46:30,coffee,5,40
อาทิตย์-2021-05-09 17:25:04,coffee,40,5
อาทิตย์-2021-05-09 18:26:43,f,4,4
อาทิตย์-2021-05-09 20:22:35,มะม่วง,5,10
อาทิตย์-2021-05-09 20:22:48,กล้วยทอง,7,3
อาทิตย์-2021-05-09 20:48:01,เงาะ,10,5
อาทิตย์-2021-05-09 21:00:12,coffee,2,10
อาทิตย์-2021-05-09 21:03:59,มะนาว,5,10,50
